HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
106451,141.71387,4,1,3.0,1983,2,1,,600.0,489.58,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3000.0,3.0,,2,2,1,2,28312.92,22477.76,22477.76,22477.76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3039.0,2893.8,0,0.0,0.0,0,0,0,5835.16,0,0.0,3,3,1
106452,70.34627,4,1,2.0,1994,2,1,,250.0,420.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2200.0,1.0,,2,2,2,2,34578.8,31094.49,26936.49,26936.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,75,0,0,3409.31,-235,0.0,2,2,1
106453,128.21903,1,1,4.0,1988,2,2,,200.0,324.25,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,2,2,2,2,43742.06,38377.29,37897.29,28518.18,265.05,225.05,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,5364.77,-283,0.0,1,7,2
106454,114.68321,4,1,4.0,1982,2,1,,700.0,600.0,,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3500.0,1.0,,2,2,2,2,58447.01,45927.55,42257.49,42257.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,12519.46,0,0.0,10,1,1
106455,151.52764,1,1,4.0,1955,2,1,,50.0,284.17,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2000.0,2.0,,2,1,1,2,23292.65,20163.47,18798.83,18798.83,0.0,0.0,0.0,0.0,374.61,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,3129.18,-688,1626.44,1,6,1
106456,514.24826,1,1,5.0,1955,2,1,,100.0,293.55,,3,3,,3.0,,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1000.0,2.0,,2,2,2,2,7814.8,7167.54,3500.0,3500.0,0.0,0.0,0.0,0.0,2835.0,832.54,0,0,0.0,0.0,0,0.0,0.0,0,0,0,647.26,0,0.0,3,7,2
106457,110.74818,4,1,4.0,1976,2,1,,200.0,381.83,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,2,2,2,2,51594.79,42137.95,42137.95,42137.95,316.75,268.75,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,9456.84,-373,0.0,1,6,1
106458,413.37242,4,1,3.0,2000,2,2,,250.0,550.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3000.0,2.0,,2,2,2,2,75755.71,60553.16,54449.6,54449.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,75,0,0,15127.55,-1163,0.0,2,2,1
106460,271.04528,4,1,4.0,1990,2,1,,800.0,750.0,,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3000.0,1.0,,2,2,2,2,47929.05,37714.72,37714.72,37714.72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,10214.33,0,0.0,10,1,1
106461,93.3787,1,1,6.0,1983,2,2,,400.0,707.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2500.0,2.0,,2,1,2,2,90069.8,61624.83,61073.11,61073.11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,123,7000,0,21321.97,0,0.0,6,4,1
106464,68.22929,4,1,3.0,1980,2,1,,250.0,480.0,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2000.0,1.0,,2,2,2,2,33888.34,26075.92,26075.92,26075.92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,7812.42,0,0.0,9,6,1
106466,492.03847,3,1,2.0,1960,2,1,,1.0,129.67,,3,3,,3.0,,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,1500.0,2.0,,2,2,2,2,16931.02,16931.02,16931.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,5,7,2
106467,205.47657,4,1,4.0,1996,2,2,,600.0,435.0,,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2500.0,1.0,,2,2,2,2,67719.41,54169.36,54169.36,54169.36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,13550.05,-228,0.0,10,1,1
106468,165.10728,4,1,3.0,1968,2,2,,300.0,700.0,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3000.0,2.0,,2,2,2,2,40743.0,37917.5,30230.76,18630.32,0.0,0.0,0.0,0.0,2520.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,2825.5,-227,0.0,3,3,1
106470,130.43616,1,1,4.0,1968,2,1,,1.0,213.33,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1000.0,2.0,,2,2,2,2,13849.7,13849.7,10272.72,0.0,0.0,0.0,0.0,0.0,3030.33,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,1666.18,8,7,2
106471,39.47314,4,1,4.0,1975,2,2,,100.0,369.25,,1,1,,3.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1200.0,1.0,,2,2,2,2,21509.28,21509.28,21509.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,6,4,1
106473,272.54423,1,1,6.0,1986,2,2,,400.0,465.33,,1,1,,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5000.0,2.0,,2,2,2,2,62524.39,46698.29,46497.31,46497.31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,250,3000,0,12576.1,-321,755.6,10,6,1
106475,141.95131,1,1,6.0,2004,2,2,,500.0,300.33,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5000.0,3.0,,2,2,2,2,49790.42,38972.8,34545.52,34545.52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,2000,0,8792.62,-601,0.0,1,7,2
106477,42.3449,3,1,3.0,1986,1,1,,500.0,300.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2000.0,2.0,,2,2,1,2,37235.76,29438.06,28968.37,28968.37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,0,0,7772.7,-284,0.0,3,3,1
106478,183.28069,3,1,4.0,1964,1,1,,1.0,313.0,,3,3,,3.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4500.0,2.0,,1,2,2,2,34689.43,32834.29,19744.86,19744.86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,10,0,0,1845.14,-131,0.0,8,6,1
106479,304.50337,2,1,3.0,2009,2,1,,300.0,360.0,,3,1,,3.0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1500.0,1.0,,2,2,2,2,5254.12,4922.38,4922.38,4922.38,0.0,0.0,0.0,0.0,0.0,0.0,2400,0,0.0,0.0,0,0.0,0.0,0,0,0,331.74,0,0.0,10,1,1
106480,133.20428,1,1,4.0,1987,1,1,,600.0,386.67,,1,1,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3500.0,2.0,2.0,2,2,2,2,43007.83,36878.95,35000.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,6128.88,0,0.0,7,7,2
106481,81.05851,3,1,4.0,1990,1,2,,200.0,332.92,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2000.0,1.0,,1,1,1,2,22657.38,18496.09,18496.09,18496.09,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0.0,0.0,0,0.0,0.0,0,0,0,4161.29,-148,0.0,1,6,1
106484,172.78928,1,1,4.0,1988,1,1,,1.0,295.33,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,2,2,2,2,18027.23,16005.95,12277.0,12277.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,2021.28,-140,0.0,8,7,2
106485,80.99051,1,1,6.0,2004,2,1,,350.0,467.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3800.0,2.0,,2,2,2,2,58591.37,48534.26,48534.26,48534.26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,10057.11,-1023,1944.0,7,6,1
106488,54.23379,1,1,5.0,1988,2,1,,500.0,550.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2500.0,2.0,,2,2,2,2,87567.53,78895.82,77881.22,77881.22,2618.0,2618.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,250,0,0,8421.71,-33,0.0,3,6,1
106489,257.25908,1,1,3.0,1944,1,1,,,213.33,,3,3,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2500.0,2.0,,2,1,2,2,50892.28,48289.09,11239.17,11239.17,0.0,0.0,4550.0,4550.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,2603.19,0,1558.53,9,7,2
106490,36.42251,4,1,4.0,1991,2,1,,400.0,486.25,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2000.0,1.0,,2,2,2,2,16888.45,16888.45,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,2,2,1
106494,76.46114,4,1,3.0,1984,2,2,,150.0,420.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2500.0,2.0,,1,2,2,2,42620.48,34125.65,31097.76,31097.76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200.0,200.0,0,0.0,0.0,25,0,0,8469.83,-106,0.0,6,4,1
106495,308.90208,4,1,2.0,1976,2,2,,,280.0,,1,1,,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,800.0,1.0,,2,2,2,2,14562.0,13088.85,13088.85,13088.85,0.0,0.0,0.0,0.0,0.0,0.0,5000,0,0.0,0.0,0,0.0,0.0,25,0,0,1448.15,0,0.0,3,3,1
106499,402.43905,4,1,4.0,2005,2,2,,400.0,400.0,,1,1,,3.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1500.0,1.0,,2,2,1,2,18394.73,14649.74,14255.01,14255.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,3744.99,0,0.0,10,1,1
106500,135.9692,4,1,4.0,1996,1,1,,100.0,416.08,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1000.0,2.0,,2,1,1,2,52728.58,42338.48,41802.81,41802.81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,10390.1,0,0.0,8,6,1
106503,93.32349,4,1,4.0,1983,1,2,,200.0,580.0,,1,1,,2.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1200.0,1.0,,1,2,1,2,17520.0,17520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,10,6,1
106505,163.79853,4,1,3.0,1985,2,1,,300.0,500.0,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1000.0,2.0,,2,1,1,1,20200.0,19831.0,12631.0,12631.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,369.0,-600,0.0,2,2,1
106506,314.10653,4,1,2.0,2008,2,1,,,375.0,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2000.0,2.0,,2,2,2,2,39050.23,29711.47,29711.47,29711.47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,75,0,2500,9263.76,0,0.0,3,3,1
106509,271.15793,1,1,6.0,1982,2,2,,1000.0,418.0,,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3000.0,2.0,,2,2,2,2,50937.58,44617.73,44617.73,44617.73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,6319.85,0,0.0,2,6,1
106510,22.22819,2,2,4.0,1984,2,1,,450.0,360.0,10500.0,1,1,3.0,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3500.0,2.0,,2,2,2,2,65482.92,46231.15,38859.0,38859.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,75,5500,0,13676.77,0,0.0,2,2,1
106511,113.25889,1,1,6.0,1999,2,1,,200.0,303.33,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5000.0,2.0,,2,2,2,2,41093.39,32354.84,32354.84,32354.84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,8738.55,0,0.0,5,6,1
106512,163.81351,1,1,5.0,1993,2,1,,100.0,497.83,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2500.0,3.0,,2,2,2,2,30857.36,28130.5,28130.5,28130.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,2726.86,0,0.0,2,7,2
106514,73.3584,1,1,4.0,1996,2,2,,,485.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3000.0,2.0,,2,2,2,2,81050.78,67741.06,67741.06,67741.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,450.0,450.0,0,0.0,0.0,70,0,0,13239.72,0,0.0,6,4,1
106515,66.02254,4,1,3.0,1998,2,2,,300.0,500.0,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1000.0,1.0,,2,2,1,2,17612.32,17612.32,17612.32,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,3,3,1
106517,325.99697,1,1,3.0,1985,2,1,,150.0,232.0,,1,1,,3.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3000.0,2.0,,2,2,2,2,87945.3,67902.07,67247.1,67247.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,20043.23,0,0.0,10,6,1
106518,167.12803,4,1,3.0,1993,1,2,,500.0,524.58,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2500.0,1.0,,2,2,2,1,49701.71,39181.42,38671.04,38671.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,9,0,0,10511.29,-579,0.0,2,2,1
106521,81.62767,4,1,4.0,1986,2,2,,200.0,320.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3000.0,1.0,,2,2,2,2,25520.71,20945.87,19630.43,19630.43,0.0,0.0,0.0,0.0,156.0,0.0,0,0,200.0,200.0,0,0.0,0.0,0,0,0,4574.84,-288,0.0,1,6,1
106522,219.91672,2,1,3.0,2008,1,1,,1.0,158.33,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1000.0,2.0,,2,2,2,2,2541.94,2283.94,942.0,942.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,150,0,0,108.0,0,0.0,6,4,1
106524,295.56716,4,1,4.0,1983,2,1,,700.0,500.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,2,2,2,2,37167.31,31351.38,31351.38,31351.38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,5815.93,0,0.0,10,1,1
106526,89.11702,4,1,4.0,1995,2,1,,100.0,562.83,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4500.0,1.0,,2,2,2,2,48504.14,44128.33,44128.33,44128.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,6,0,0,4369.81,0,0.0,8,6,1
106530,129.79349,4,1,4.0,1993,2,2,,300.0,446.25,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2500.0,2.0,,2,2,1,2,20181.7,18332.86,14732.14,14418.98,0.0,0.0,0.0,0.0,200.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,1848.84,-736,0.0,10,6,1
106533,231.5363,3,2,5.0,2007,2,2,,100.0,446.33,1500.0,1,1,3.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4000.0,1.0,,2,2,2,2,19060.78,18015.0,15675.0,8475.0,0.0,0.0,2184.0,2184.0,156.0,0.0,0,0,0.0,0.0,900,0.0,0.0,0,0,1320,1045.78,-75,0.0,5,6,1
106535,68.75741,4,1,2.0,1999,2,1,,200.0,379.58,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3500.0,3.0,,2,2,2,2,56754.76,52592.41,50544.0,50544.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,4162.35,-153,0.0,3,3,1
106536,115.526,4,1,4.0,1991,2,1,,70.0,341.25,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1500.0,1.0,,2,2,2,2,18392.37,15836.77,12036.1,12036.1,0.0,0.0,0.0,0.0,233.79,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,2555.6,-699,0.0,6,6,1
106539,583.86886,4,1,4.0,2000,2,1,,1000.0,600.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7000.0,2.0,,2,2,2,2,145880.44,112223.45,112223.45,112223.45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,33656.99,-165,0.0,10,1,1
106540,620.31968,4,5,2.0,2003,1,1,,150.0,300.0,,1,1,,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2000.0,1.0,,2,2,2,2,22904.04,21540.14,9840.71,9840.71,0.0,0.0,7520.91,6318.9,3988.52,0.0,1500,2000,0.0,0.0,0,0.0,0.0,0,0,0,1363.9,-674,0.0,6,4,1
106541,162.51918,4,1,4.0,1987,2,1,,400.0,465.0,,1,1,,3.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4000.0,2.0,,2,2,2,2,29121.77,22988.6,21571.65,21571.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,6133.17,0,0.0,3,6,1
106545,88.51834,1,1,7.0,1961,2,1,,100.0,266.08,,1,1,,2.0,,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,2000.0,2.0,,2,2,2,2,8292.46,8022.13,767.18,767.18,0.0,0.0,0.0,0.0,6930.0,324.95,0,0,0.0,0.0,0,0.0,0.0,120,0,0,150.33,0,0.0,5,6,1
106546,281.41704,4,1,3.0,1979,2,2,,500.0,400.0,,1,1,,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4000.0,1.0,,2,2,2,2,26361.89,21203.42,21047.42,21047.42,0.0,0.0,0.0,0.0,156.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,5158.47,-375,0.0,10,1,1
106547,441.70169,1,1,4.0,2006,2,1,,100.0,144.17,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,900.0,3.0,,2,2,1,2,13099.72,11799.08,8805.84,8805.84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,0,0,1275.64,-373,0.0,5,6,1
106549,151.61058,4,1,2.0,1979,2,1,,200.0,342.33,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,1.0,,2,2,2,2,37360.86,30617.25,30617.25,22344.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,0,0,6718.61,0,0.0,2,2,1
106551,329.37014,4,1,4.0,1987,2,2,,800.0,500.83,,1,1,,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2800.0,1.0,,2,2,2,2,56790.33,46510.71,46510.71,46510.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,10279.62,-55,0.0,10,1,1
106555,91.1424,4,1,3.0,1979,2,1,,150.0,349.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,1.0,,2,1,2,2,33286.09,27470.63,23287.99,23287.99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,8,0,0,5807.46,-164,0.0,1,6,1
106557,194.14242,4,1,3.0,1992,2,1,,250.0,401.38,,1,1,,3.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1300.0,1.0,,2,2,2,2,26972.76,23400.0,23400.0,23400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,3572.76,0,0.0,7,6,1
106558,181.87345,4,1,2.0,1974,2,1,,150.0,250.0,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,2,2,2,2,38462.54,32926.09,31331.56,31331.56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,5536.45,-287,0.0,5,5,1
106559,171.96556,4,1,3.0,1995,2,1,,800.0,700.0,,1,1,,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2500.0,1.0,1.0,2,2,2,2,70648.09,55036.78,53715.81,53715.81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,15611.31,-250,0.0,10,1,1
106564,193.0667,1,1,8.0,1980,2,2,,1000.0,527.67,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3000.0,1.0,,2,2,2,2,23872.2,23872.2,23872.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,2,7,2
106566,207.29831,4,1,3.0,1980,2,2,,800.0,550.0,,1,1,,3.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2500.0,1.0,,2,2,2,2,8870.4,8870.4,8870.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,10,1,1
106567,147.49944,4,1,3.0,2005,2,2,,100.0,422.92,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3000.0,2.0,,2,1,1,2,27030.36,26030.36,26030.36,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,1000,0,0.0,0,0.0,1,6,1
106568,154.09339,1,1,6.0,1968,1,1,,,275.33,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1000.0,1.0,,2,2,2,2,14818.92,14668.92,14668.92,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,150,0,0,0.0,0,3481.62,7,7,2
106570,140.6957,1,1,5.0,1974,2,1,,100.0,325.0,,3,3,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5000.0,2.0,,2,2,2,2,57536.13,51970.53,51970.53,30104.85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,5565.6,0,4776.22,5,7,2
106572,51.6789,4,1,2.0,1993,2,2,,100.0,400.0,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3700.0,1.0,,2,2,2,2,9973.12,9973.12,9973.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,3,3,1
106573,278.92438,4,1,2.0,1990,2,2,,100.0,350.0,,2,1,,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1000.0,2.0,,2,2,2,2,19176.72,19176.72,19176.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,5,5,1
106574,74.00068,4,1,3.0,1963,1,1,,150.0,600.0,,1,1,,3.0,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2000.0,1.0,,2,2,1,2,29314.17,28312.69,28312.69,9353.57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,1001.48,0,0.0,6,4,1
106580,171.55714,1,1,4.0,1973,2,1,,100.0,239.17,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1400.0,2.0,,2,2,2,2,14294.16,14244.16,14244.16,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,50,0,0,0.0,0,0.0,4,7,2
106581,94.95285,1,1,6.0,1990,2,1,,100.0,242.67,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1500.0,1.0,,2,1,1,2,19926.34,19926.34,19926.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,2111.15,1,6,1
